NAME,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,AVERAGE,WEIGHTED_AVERAGE
"ST JOHNS, AC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,4,0,0,0,0,,0,2,0.9090909090909091,1.6746987951807228
"NEW ORLEANS ALVIN CALLENDER FIELD, LA US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,72,57,83,74,74,72,59,57,47,69,66,66.0,66.0
"ROTA NAS, SP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,7,22,20,19,12,5,11,12,10,18,12.25,12.802532261991722
"CAMP TUTO SITE 2, GL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,0.0,0.0
"HUMPHREY POINT BAR A, AK US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,,,,,,,0.0,0.0
"CAMDEN BAY, AK US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,0,,,,,,,0.0,0.0
"HOLMAN ISLAND, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0.08333333333333333,0.08449074074074074
"MCINTYRE POW C, AK US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,,,,,,,0.0,0.0
"CHANGGAI GAP ROK K 3, KS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,8,13,2,15,3,9,7,,,5.8,5.96020196020196
"NORFOLK FLEET WF NAS, VA US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,27,28,38,19,,,,,,,,26.4,27.61904761904762
"NEW YORK SHOALS AFS OFF SHORE, NY US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,15,,,,,,,,,,9.333333333333334,11.937017994858612
"ST. MARIE, MT US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,13,17,22,22,23,27,25,15,4,,16.0,18.25492468134415
"NIMES COURBESSAC, FR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,12.0,12.0
"UFS TW EMS AUT, GM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,10,9,6,8,3,7,8,7,3,6.0,6.496095928611266
